column,dtype,missing_rate,unique_count,is_numeric,mean,std,min,max,q25,q50,q75
C12,float32,0.0,1194,True,4.964756965637207,96.83812713623047,0.0,3188.0,0.0,0.0,0.0
C13,float32,0.0,1589,True,32.71311950683594,134.6658935546875,0.0,2918.0,1.0,2.0,12.0
C14,float32,0.0,1089,True,8.610481262207031,52.61948776245117,0.0,1429.0,1.0,1.0,2.0
D1,float32,0.002,642,True,90.6419906616211,153.21014404296875,0.0,640.0,0.0,1.0,116.0
D2,float32,0.4895,642,True,167.26829528808594,173.3170623779297,0.0,640.0,25.0,97.0,275.0
D3,float32,0.4607,610,True,28.64240837097168,62.40531921386719,0.0,731.0,1.0,8.0,27.0
D4,float32,0.2959,768,True,134.97500610351562,184.72926330566406,-122.0,825.0,0.0,22.0,248.0
D5,float32,0.5373,641,True,42.40101623535156,88.28666687011719,0.0,801.0,1.0,10.0,32.0
D6,float32,0.8762,782,True,63.98103713989258,138.5880584716797,-83.0,829.0,0.0,0.0,23.0
D7,float32,0.9366,569,True,44.7179069519043,102.50444793701172,0.0,801.0,0.0,0.0,21.0
D8,float32,0.8696,11360,True,149.70053100585938,235.16990661621094,0.0,1707.7916259765625,0.9583330154418945,41.83333206176758,192.5416717529297
D9,float32,0.8696,25,True,0.5602651834487915,0.31867095828056335,0.0,0.9583330154418945,0.20833300054073334,0.6666659712791443,0.8333330154418945
D10,float32,0.1405,778,True,118.33504486083984,176.3116912841797,0.0,830.0,0.0,12.0,186.0
D11,float32,0.5207,637,True,138.20242309570312,177.9442596435547,-53.0,630.0,0.0,35.0,259.0
D12,float32,0.8884,601,True,52.51217269897461,120.8437728881836,-83.0,624.0,0.0,0.0,11.0
D13,float32,0.8963,528,True,17.152063369750977,67.0264663696289,0.0,818.0,0.0,0.0,0.0
D14,float32,0.8945,764,True,51.71775436401367,129.72462463378906,-193.0,834.0,0.0,0.0,1.0
D15,float32,0.1646,821,True,157.24798583984375,195.73968505859375,-83.0,837.0,0.0,46.0,304.0
M1,object,0.5044,3,False,,,,,,,
M2,object,0.5044,3,False,,,,,,,
M3,object,0.5044,3,False,,,,,,,
M4,object,0.4809,4,False,,,,,,,
M5,object,0.6001,3,False,,,,,,,
M6,object,0.2993,3,False,,,,,,,
M7,object,0.635,3,False,,,,,,,
M8,object,0.635,3,False,,,,,,,
M9,object,0.635,3,False,,,,,,,
V1,float32,0.5207,3,True,0.9999293684959412,0.008405253291130066,0.0,1.0,1.0,1.0,1.0
V2,float32,0.5207,8,True,1.0396584272384644,0.21873444318771362,0.0,6.0,1.0,1.0,1.0
V3,float32,0.5207,8,True,1.0711077451705933,0.30040255188941956,0.0,6.0,1.0,1.0,1.0
V4,float32,0.5207,7,True,0.8413046002388,0.4349151849746704,0.0,5.0,1.0,1.0,1.0
V5,float32,0.5207,8,True,0.871972382068634,0.4709222912788391,0.0,6.0,1.0,1.0,1.0
V6,float32,0.5207,8,True,1.0407932996749878,0.22068724036216736,0.0,6.0,1.0,1.0,1.0
V7,float32,0.5207,9,True,1.0667493343353271,0.28531718254089355,0.0,7.0,1.0,1.0,1.0
V8,float32,0.5207,8,True,1.0238100290298462,0.16620390117168427,0.0,6.0,1.0,1.0,1.0
V9,float32,0.5207,8,True,1.036867618560791,0.20710337162017822,0.0,6.0,1.0,1.0,1.0
V10,float32,0.5207,6,True,0.4615625739097595,0.5194389224052429,0.0,4.0,0.0,0.0,1.0
V11,float32,0.5207,6,True,0.47602877020835876,0.5495947003364563,0.0,4.0,0.0,0.0,1.0
V12,float32,0.1406,5,True,0.5407273173332214,0.5107339024543762,0.0,3.0,0.0,1.0,1.0
V13,float32,0.1406,8,True,0.5799386501312256,0.5321942567825317,0.0,6.0,0.0,1.0,1.0
V14,float32,0.1406,3,True,0.9994950890541077,0.022464776411652565,0.0,1.0,1.0,1.0,1.0
V15,float32,0.1406,9,True,0.12538762390613556,0.33670496940612793,0.0,7.0,0.0,0.0,0.0
V16,float32,0.1406,16,True,0.1267077922821045,0.34922558069229126,0.0,15.0,0.0,0.0,0.0
V17,float32,0.1406,17,True,0.13450327515602112,0.3666294813156128,0.0,15.0,0.0,0.0,0.0
V18,float32,0.1406,17,True,0.13585546612739563,0.37417206168174744,0.0,15.0,0.0,0.0,0.0
V19,float32,0.1406,9,True,0.8160170316696167,0.4276586174964905,0.0,7.0,1.0,1.0,1.0
V20,float32,0.1406,16,True,0.848068356513977,0.46360719203948975,0.0,15.0,1.0,1.0,1.0
V21,float32,0.1406,7,True,0.12998607754707336,0.33966270089149475,0.0,5.0,0.0,0.0,0.0
V22,float32,0.1406,10,True,0.13242201507091522,0.3584584891796112,0.0,8.0,0.0,0.0,0.0
V23,float32,0.1406,15,True,1.0350217819213867,0.2549546957015991,0.0,13.0,1.0,1.0,1.0
V24,float32,0.1406,15,True,1.0580583810806274,0.3116026520729065,0.0,13.0,1.0,1.0,1.0
V25,float32,0.1406,8,True,0.975226879119873,0.19172978401184082,0.0,7.0,1.0,1.0,1.0
V26,float32,0.1406,14,True,0.9856849312782288,0.21807833015918732,0.0,13.0,1.0,1.0,1.0
V27,float32,0.1406,5,True,0.0007561483071185648,0.028456371277570724,0.0,4.0,0.0,0.0,0.0
V28,float32,0.1406,5,True,0.000768463418353349,0.028928179293870926,0.0,4.0,0.0,0.0,0.0
V29,float32,0.1406,7,True,0.38648784160614014,0.5104784369468689,0.0,5.0,0.0,0.0,1.0
V30,float32,0.1406,9,True,0.4045787751674652,0.553162157535553,0.0,9.0,0.0,0.0,1.0
V31,float32,0.1406,9,True,0.14181353151798248,0.3579336106777191,0.0,7.0,0.0,0.0,0.0
V32,float32,0.1406,16,True,0.14364847540855408,0.372534841299057,0.0,15.0,0.0,0.0,0.0
V33,float32,0.1406,8,True,0.13231363892555237,0.3433234989643097,0.0,7.0,0.0,0.0,0.0
V34,float32,0.1406,14,True,0.13891208171844482,0.35962480306625366,0.0,13.0,0.0,0.0,0.0
V35,float32,0.2959,5,True,0.5205833911895752,0.5165655016899109,0.0,3.0,0.0,1.0,1.0
V36,float32,0.2959,6,True,0.5567534565925598,0.5389238595962524,0.0,4.0,0.0,1.0,1.0
V37,float32,0.2959,56,True,1.1112340688705444,0.7250186800956726,0.0,54.0,1.0,1.0,1.0
V38,float32,0.2959,56,True,1.1626195907592773,0.8678291440010071,0.0,54.0,1.0,1.0,1.0
V39,float32,0.2959,16,True,0.1713290959596634,0.4571595788002014,0.0,14.0,0.0,0.0,0.0
V40,float32,0.2959,18,True,0.1818755716085434,0.5088263750076294,0.0,24.0,0.0,0.0,0.0
V41,float32,0.2959,3,True,0.9992273449897766,0.02778582088649273,0.0,1.0,1.0,1.0,1.0
V42,float32,0.2959,10,True,0.16095399856567383,0.3872389793395996,0.0,8.0,0.0,0.0,0.0
V43,float32,0.2959,10,True,0.17281727492809296,0.4326178729534149,0.0,8.0,0.0,0.0,0.0
V44,float32,0.2959,50,True,1.0875014066696167,0.6892260313034058,0.0,48.0,1.0,1.0,1.0
V45,float32,0.2959,50,True,1.1234279870986938,0.7706051468849182,0.0,48.0,1.0,1.0,1.0
V46,float32,0.2959,8,True,1.0231733322143555,0.17042922973632812,0.0,6.0,1.0,1.0,1.0
V47,float32,0.2959,10,True,1.0396935939788818,0.2382139265537262,0.0,12.0,1.0,1.0,1.0
V48,float32,0.2959,7,True,0.37916800379753113,0.5074895024299622,0.0,5.0,0.0,0.0,1.0
V49,float32,0.2959,7,True,0.39342740178108215,0.5416602492332458,0.0,5.0,0.0,0.0,1.0
V50,float32,0.2959,7,True,0.17095330357551575,0.37982380390167236,0.0,5.0,0.0,0.0,0.0
V51,float32,0.2959,8,True,0.1747443825006485,0.40853598713874817,0.0,6.0,0.0,0.0,0.0
V52,float32,0.2959,10,True,0.18595527112483978,0.44384875893592834,0.0,12.0,0.0,0.0,0.0
V53,float32,0.1416,7,True,0.5547094941139221,0.5115603804588318,0.0,5.0,0.0,1.0,1.0
V54,float32,0.1416,8,True,0.5969344973564148,0.5342319011688232,0.0,6.0,0.0,1.0,1.0
V55,float32,0.1416,19,True,1.0670337677001953,0.3903978168964386,0.0,17.0,1.0,1.0,1.0
V56,float32,0.1416,21,True,1.1132755279541016,0.5195779204368591,0.0,29.0,1.0,1.0,1.0
V57,float32,0.1416,8,True,0.13247457146644592,0.3529891073703766,0.0,6.0,0.0,0.0,0.0
V58,float32,0.1416,9,True,0.13517466187477112,0.3632822334766388,0.0,7.0,0.0,0.0,0.0
V59,float32,0.1416,13,True,0.13542616367340088,0.3781172037124634,0.0,12.0,0.0,0.0,0.0
V60,float32,0.1416,14,True,0.14243900775909424,0.41100186109542847,0.0,12.0,0.0,0.0,0.0
V61,float32,0.1416,8,True,0.8284099102020264,0.4363076686859131,0.0,6.0,1.0,1.0,1.0
V62,float32,0.1416,9,True,0.8653382658958435,0.47649478912353516,0.0,7.0,1.0,1.0,1.0
V63,float32,0.1416,9,True,0.13165344297885895,0.355990469455719,0.0,7.0,0.0,0.0,0.0
V64,float32,0.1416,9,True,0.14119869470596313,0.3975330889225006,0.0,7.0,0.0,0.0,0.0
V65,float32,0.1416,3,True,0.9996597170829773,0.01844370923936367,0.0,1.0,1.0,1.0,1.0
V66,float32,0.1416,7,True,0.9779948592185974,0.21846719086170197,0.0,5.0,1.0,1.0,1.0
V67,float32,0.1416,10,True,0.9948390126228333,0.2479294240474701,0.0,8.0,1.0,1.0,1.0
V68,float32,0.1416,4,True,0.0005153596866875887,0.022911977022886276,0.0,2.0,0.0,0.0,0.0
V69,float32,0.1416,7,True,0.3883937895298004,0.5132505297660828,0.0,5.0,0.0,0.0,1.0
V70,float32,0.1416,8,True,0.40582725405693054,0.5532961487770081,0.0,6.0,0.0,0.0,1.0
V71,float32,0.1416,8,True,0.14239954948425293,0.36574697494506836,0.0,6.0,0.0,0.0,0.0
V72,float32,0.1416,9,True,0.14543253183364868,0.37787672877311707,0.0,7.0,0.0,0.0,0.0
V73,float32,0.1416,7,True,0.14235763251781464,0.36880797147750854,0.0,5.0,0.0,0.0,0.0
V74,float32,0.1416,10,True,0.15267468988895416,0.3930990993976593,0.0,8.0,0.0,0.0,0.0
V75,float32,0.1647,6,True,0.5253814458847046,0.5144132971763611,0.0,4.0,0.0,1.0,1.0
V76,float32,0.1647,8,True,0.5681952238082886,0.5381856560707092,0.0,6.0,0.0,1.0,1.0
V77,float32,0.1647,32,True,1.0885999202728271,0.5519571304321289,0.0,30.0,1.0,1.0,1.0
V78,float32,0.1647,32,True,1.1376726627349854,0.7024003863334656,0.0,30.0,1.0,1.0,1.0
V79,float32,0.1647,9,True,0.13942362368106842,0.3674182891845703,0.0,7.0,0.0,0.0,0.0
V80,float32,0.1647,21,True,0.1481379121541977,0.41626864671707153,0.0,19.0,0.0,0.0,0.0
V81,float32,0.1647,21,True,0.15530142188072205,0.4499146640300751,0.0,19.0,0.0,0.0,0.0
V82,float32,0.1647,9,True,0.8444477319717407,0.4224483072757721,0.0,7.0,1.0,1.0,1.0
V83,float32,0.1647,9,True,0.880794882774353,0.461731493473053,0.0,7.0,1.0,1.0,1.0
V84,float32,0.1647,9,True,0.1407083421945572,0.364631712436676,0.0,7.0,0.0,0.0,0.0
V85,float32,0.1647,9,True,0.15070988237857819,0.40586212277412415,0.0,7.0,0.0,0.0,0.0
V86,float32,0.1647,32,True,1.0658475160598755,0.43890145421028137,0.0,30.0,1.0,1.0,1.0
V87,float32,0.1647,32,True,1.09967839717865,0.5171312093734741,0.0,30.0,1.0,1.0,1.0
V88,float32,0.1647,3,True,0.9991942048072815,0.028375208377838135,0.0,1.0,1.0,1.0,1.0
V89,float32,0.1647,4,True,0.0008564789313822985,0.029938120394945145,0.0,2.0,0.0,0.0,0.0
V90,float32,0.1647,7,True,0.3995094299316406,0.5159454941749573,0.0,5.0,0.0,0.0,1.0
V91,float32,0.1647,8,True,0.41772353649139404,0.5608992576599121,0.0,6.0,0.0,0.0,1.0
V92,float32,0.1647,9,True,0.15522287786006927,0.3795422315597534,0.0,7.0,0.0,0.0,0.0
V93,float32,0.1647,9,True,0.15796208381652832,0.3912666141986847,0.0,7.0,0.0,0.0,0.0
V94,float32,0.1647,4,True,0.13990508019924164,0.3468962609767914,0.0,2.0,0.0,0.0,0.0
V95,float32,0.0002,29,True,0.21891877055168152,0.7694104313850403,0.0,27.0,0.0,0.0,0.0
V96,float32,0.0002,128,True,1.2722326517105103,4.417738437652588,0.0,126.0,0.0,0.0,1.0
V97,float32,0.0002,50,True,0.5022854804992676,1.6818841695785522,0.0,48.0,0.0,0.0,0.0
V98,float32,0.0002,14,True,0.05938370153307915,0.27976688742637634,0.0,12.0,0.0,0.0,0.0
V99,float32,0.0002,90,True,0.7955116629600525,2.4600670337677,0.0,88.0,0.0,0.0,1.0
V100,float32,0.0002,30,True,0.24350936710834503,0.8493530750274658,0.0,28.0,0.0,0.0,0.0
V101,float32,0.0002,24,True,0.10021277517080307,0.5513561964035034,0.0,22.0,0.0,0.0,0.0
V102,float32,0.0002,117,True,0.3480813503265381,2.6893320083618164,0.0,115.0,0.0,0.0,0.0
V103,float32,0.0002,47,True,0.1784348040819168,1.0946112871170044,0.0,45.0,0.0,0.0,0.0
V104,float32,0.0002,17,True,0.057992737740278244,0.3423631489276886,0.0,15.0,0.0,0.0,0.0
V105,float32,0.0002,40,True,0.1269141584634781,0.8266198635101318,0.0,38.0,0.0,0.0,0.0
V106,float32,0.0002,25,True,0.0788402333855629,0.4851141571998596,0.0,23.0,0.0,0.0,0.0
V107,float32,0.0002,3,True,0.999805212020874,0.013954909518361092,0.0,1.0,1.0,1.0,1.0
V108,float32,0.0002,9,True,1.0046916007995605,0.07998234778642654,0.0,7.0,1.0,1.0,1.0
V109,float32,0.0002,9,True,1.0138990879058838,0.12450388818979263,0.0,7.0,1.0,1.0,1.0
V110,float32,0.0002,9,True,1.0074290037155151,0.09502358734607697,0.0,7.0,1.0,1.0,1.0
V111,float32,0.0002,11,True,1.0028560161590576,0.07180224359035492,0.0,9.0,1.0,1.0,1.0
V112,float32,0.0002,11,True,1.00540292263031,0.08605942130088806,0.0,9.0,1.0,1.0,1.0
V113,float32,0.0002,11,True,1.0035547018051147,0.07584426552057266,0.0,9.0,1.0,1.0,1.0
V114,float32,0.0002,8,True,1.0090233087539673,0.10768824070692062,0.0,6.0,1.0,1.0,1.0
V115,float32,0.0002,8,True,1.0296082496643066,0.18233318626880646,0.0,6.0,1.0,1.0,1.0
V116,float32,0.0002,8,True,1.0146675109863281,0.1320195347070694,0.0,6.0,1.0,1.0,1.0
V117,float32,0.0002,5,True,1.0006288290023804,0.03210381045937538,0.0,3.0,1.0,1.0,1.0
V118,float32,0.0002,5,True,1.001448154449463,0.03944771736860275,0.0,3.0,1.0,1.0,1.0
V119,float32,0.0002,5,True,1.0008659362792969,0.03401954099535942,0.0,3.0,1.0,1.0,1.0
V120,float32,0.0002,5,True,1.0010204315185547,0.03792911395430565,0.0,3.0,1.0,1.0,1.0
V121,float32,0.0002,5,True,1.0038235187530518,0.06287218630313873,0.0,3.0,1.0,1.0,1.0
V122,float32,0.0002,5,True,1.0016534328460693,0.044270310550928116,0.0,3.0,1.0,1.0,1.0
V123,float32,0.0002,15,True,1.030012607574463,0.22686772048473358,0.0,13.0,1.0,1.0,1.0
V124,float32,0.0002,15,True,1.0829030275344849,0.34468114376068115,0.0,13.0,1.0,1.0,1.0
V125,float32,0.0002,15,True,1.0446738004684448,0.26183608174324036,0.0,13.0,1.0,1.0,1.0
V126,float32,0.0002,7665,True,40.557186126708984,489.0075988769531,0.0,160000.0,0.0,0.0,0.0
V127,float32,0.0002,19880,True,157.0891876220703,788.3878173828125,0.0,160000.0,0.0,0.0,100.0
V128,float32,0.0002,11340,True,74.56188201904297,549.2437133789062,0.0,160000.0,0.0,0.0,0.0
V129,float32,0.0002,1746,True,8.532106399536133,120.10748291015625,0.0,55125.0,0.0,0.0,0.0
V130,float32,0.0002,10746,True,82.758056640625,293.27337646484375,0.0,55125.0,0.0,0.0,57.95000076293945
V131,float32,0.0002,3936,True,27.8975887298584,155.56080627441406,0.0,55125.0,0.0,0.0,0.0
V132,float32,0.0002,4523,True,17.422271728515625,234.11900329589844,0.0,63874.78125,0.0,0.0,0.0
V133,float32,0.0002,7516,True,51.08384704589844,475.42059326171875,0.0,63874.78125,0.0,0.0,0.0
V134,float32,0.0002,5973,True,29.04200553894043,294.5289611816406,0.0,63874.78125,0.0,0.0,0.0
V135,float32,0.0002,3091,True,14.13479232788086,299.5849914550781,0.0,90750.0,0.0,0.0,0.0
V136,float32,0.0002,4031,True,22.740772247314453,317.7367858886719,0.0,90750.0,0.0,0.0,0.0
V137,float32,0.0002,3513,True,17.13010025024414,306.3750305175781,0.0,90750.0,0.0,0.0,0.0
V138,float32,0.8525,24,True,0.037515781819820404,0.44432181119918823,0.0,22.0,0.0,0.0,0.0
V139,float32,0.8525,35,True,1.078101634979248,1.332808017730713,0.0,33.0,0.0,1.0,1.0
V140,float32,0.8525,35,True,1.125502109527588,1.461979627609253,0.0,33.0,0.0,1.0,1.0
V141,float32,0.8525,7,True,0.03707104176282883,0.2139359563589096,0.0,5.0,0.0,0.0,0.0
V142,float32,0.8525,11,True,0.04520544037222862,0.29218176007270813,0.0,9.0,0.0,0.0,0.0
V143,float32,0.8525,56,True,3.1361615657806396,8.42900276184082,0.0,54.0,0.0,0.0,0.0
V144,float32,0.8525,64,True,4.072334289550781,11.224017143249512,0.0,62.0,0.0,0.0,0.0
V145,float32,0.8525,256,True,25.098773956298828,69.19535827636719,0.0,297.0,0.0,0.0,0.0
V146,float32,0.8525,19,True,0.14405198395252228,0.6165977120399475,0.0,17.0,0.0,0.0,0.0
V147,float32,0.8525,19,True,0.15618902444839478,0.6915469765663147,0.0,17.0,0.0,0.0,0.0
V148,float32,0.8525,17,True,0.7697836756706238,0.5308539867401123,0.0,15.0,0.0,1.0,1.0
V149,float32,0.8525,17,True,0.7798691391944885,0.5785167217254639,0.0,15.0,0.0,1.0,1.0
V150,float32,0.8525,1986,True,325.26409912109375,890.9664916992188,1.0,3389.0,1.0,1.0,1.0
V151,float32,0.8525,57,True,7.3132100105285645,16.330591201782227,1.0,57.0,1.0,1.0,1.0
V152,float32,0.8525,30,True,10.39046573638916,22.685039520263672,1.0,69.0,1.0,1.0,1.0
V153,float32,0.8525,9,True,0.7577757239341736,0.47893351316452026,0.0,7.0,0.0,1.0,1.0
V154,float32,0.8525,10,True,0.7615488171577454,0.4900587499141693,0.0,8.0,0.0,1.0,1.0
V155,float32,0.8525,16,True,0.7716773748397827,0.535435676574707,0.0,14.0,0.0,1.0,1.0
V156,float32,0.8525,18,True,0.78157639503479,0.5815243124961853,0.0,16.0,0.0,1.0,1.0
V157,float32,0.8525,17,True,0.8210862874984741,0.6224241852760315,0.0,15.0,0.0,1.0,1.0
V158,float32,0.8525,18,True,0.8364799618721008,0.6764200925827026,0.0,16.0,0.0,1.0,1.0
V159,float32,0.8525,6442,True,3177.89453125,8978.9462890625,0.0,55125.0,0.0,0.0,0.0
V160,float32,0.8525,9089,True,55376.9296875,152623.953125,0.0,641511.4375,0.0,0.0,0.0
V161,float32,0.8525,76,True,5.217358589172363,63.27182388305664,0.0,3300.0,0.0,0.0,0.0
V162,float32,0.8525,156,True,6.623533248901367,72.04983520507812,0.0,3300.0,0.0,0.0,0.0
V163,float32,0.8525,99,True,5.796091556549072,67.40653991699219,0.0,3300.0,0.0,0.0,0.0
V164,float32,0.8525,711,True,291.2784423828125,800.7387084960938,0.0,20400.0,0.0,0.0,0.0
V165,float32,0.8525,1197,True,1599.7967529296875,4240.19921875,0.0,20400.0,0.0,0.0,0.0
V166,float32,0.8525,902,True,381.7921447753906,1245.3641357421875,0.0,101640.0,0.0,0.0,0.0
V167,float32,0.7534,60,True,0.635584831237793,2.366058826446533,0.0,58.0,0.0,0.0,0.0
V168,float32,0.7534,214,True,1.214937448501587,8.46117877960205,0.0,215.0,0.0,0.0,1.0
V169,float32,0.7531,21,True,0.1686881184577942,0.876083493232727,0.0,19.0,0.0,0.0,0.0
V170,float32,0.7531,50,True,1.425508975982666,1.6807866096496582,0.0,48.0,1.0,1.0,1.0
V171,float32,0.7531,63,True,1.5378905534744263,1.9957756996154785,0.0,61.0,1.0,1.0,1.0
V172,float32,0.7534,33,True,0.1334603726863861,0.9947369694709778,0.0,31.0,0.0,0.0,0.0
V173,float32,0.7534,9,True,0.05812925472855568,0.2730293869972229,0.0,7.0,0.0,0.0,0.0
V174,float32,0.7531,10,True,0.11677881330251694,0.37015870213508606,0.0,8.0,0.0,0.0,0.0
V175,float32,0.7531,16,True,0.1432991921901703,0.5419734120368958,0.0,14.0,0.0,0.0,0.0
V176,float32,0.7534,50,True,1.37058687210083,1.848819375038147,0.0,48.0,1.0,1.0,1.0
V177,float32,0.7534,49,True,0.3439514636993408,1.5078518390655518,0.0,47.0,0.0,0.0,0.0
V178,float32,0.7534,128,True,0.8768830895423889,6.327651023864746,0.0,130.0,0.0,0.0,0.0
V179,float32,0.7534,70,True,0.5365368127822876,3.1061899662017822,0.0,68.0,0.0,0.0,0.0
V180,float32,0.7531,68,True,0.4235974848270416,3.2069380283355713,0.0,68.0,0.0,0.0,0.0
V181,float32,0.7534,18,True,0.14339178800582886,0.611143946647644,0.0,16.0,0.0,0.0,0.0
V182,float32,0.7534,51,True,0.3493162989616394,2.4282658100128174,0.0,50.0,0.0,0.0,0.0
V183,float32,0.7534,31,True,0.20934943854808807,1.0921396017074585,0.0,30.0,0.0,0.0,0.0
V184,float32,0.7531,18,True,0.12526464462280273,0.5167875289916992,0.0,16.0,0.0,0.0,0.0
V185,float32,0.7531,18,True,0.13593623042106628,0.5713747143745422,0.0,16.0,0.0,0.0,0.0
V186,float32,0.7534,40,True,1.1534004211425781,1.2846765518188477,0.0,38.0,1.0,1.0,1.0
V187,float32,0.7534,214,True,1.9208834171295166,10.621912002563477,0.0,218.0,1.0,1.0,1.0
V188,float32,0.7531,20,True,1.0121201276779175,0.5932607650756836,0.0,18.0,1.0,1.0,1.0
V189,float32,0.7531,21,True,1.0352033376693726,0.7280963659286499,0.0,19.0,1.0,1.0,1.0
V190,float32,0.7534,44,True,1.2141649723052979,1.5207836627960205,0.0,42.0,1.0,1.0,1.0
V191,float32,0.7534,23,True,1.062378168106079,0.7169961929321289,0.0,21.0,1.0,1.0,1.0
V192,float32,0.7534,46,True,1.2546802759170532,2.794638156890869,0.0,44.0,1.0,1.0,1.0
V193,float32,0.7534,39,True,1.1604734659194946,1.8291198015213013,0.0,37.0,1.0,1.0,1.0
V194,float32,0.7531,9,True,0.9477392435073853,0.29113462567329407,0.0,7.0,1.0,1.0,1.0
V195,float32,0.7531,10,True,0.955625057220459,0.3464793264865875,0.0,8.0,1.0,1.0,1.0
V196,float32,0.7534,40,True,1.0927046537399292,1.1897257566452026,0.0,38.0,1.0,1.0,1.0
V197,float32,0.7531,16,True,0.9526422023773193,0.32907190918922424,0.0,14.0,1.0,1.0,1.0
V198,float32,0.7531,16,True,0.9652252197265625,0.4768155515193939,0.0,14.0,1.0,1.0,1.0
V199,float32,0.7534,47,True,1.270843505859375,1.7323557138442993,0.0,45.0,1.0,1.0,1.0
V200,float32,0.7531,47,True,1.1178587675094604,1.2367498874664307,0.0,45.0,1.0,1.0,1.0
V201,float32,0.7531,57,True,1.153396487236023,1.39836847782135,0.0,55.0,1.0,1.0,1.0
V202,float32,0.7534,7922,True,86.74391174316406,739.1581420898438,0.0,101640.0,0.0,0.0,0.0
V203,float32,0.7534,10999,True,440.011474609375,4773.57666015625,0.0,101640.0,0.0,0.0,25.0
V204,float32,0.7534,9412,True,200.8247833251953,1970.103759765625,0.0,101640.0,0.0,0.0,10.0
V205,float32,0.7534,1904,True,19.25351905822754,286.3651428222656,0.0,55125.0,0.0,0.0,0.0
V206,float32,0.7534,1503,True,6.643420219421387,203.05413818359375,0.0,55125.0,0.0,0.0,0.0
V207,float32,0.7534,2727,True,73.72423553466797,1005.3917236328125,0.0,55125.0,0.0,0.0,0.0
V208,float32,0.7531,2113,True,8.539629936218262,62.7896842956543,0.0,3300.0,0.0,0.0,0.0
V209,float32,0.7531,2816,True,20.49693489074707,202.60386657714844,0.0,8050.0,0.0,0.0,0.0
V210,float32,0.7531,2331,True,10.385492324829102,79.56182098388672,0.0,3300.0,0.0,0.0,0.0
V211,float32,0.7534,5130,True,38.78254699707031,299.36590576171875,0.0,13200.0,0.0,0.0,0.0
V212,float32,0.7534,6079,True,175.9473114013672,1888.3770751953125,0.0,66000.0,0.0,0.0,0.0
V213,float32,0.7534,5663,True,79.4024658203125,719.5409545898438,0.0,16950.0,0.0,0.0,0.0
V214,float32,0.7534,1814,True,26.54000473022461,502.01995849609375,0.0,101640.0,0.0,0.0,0.0
V215,float32,0.7534,2136,True,81.78880310058594,860.5534057617188,0.0,101640.0,0.0,0.0,0.0
V216,float32,0.7534,1973,True,40.92192459106445,549.4861450195312,0.0,101640.0,0.0,0.0,0.0
V217,float32,0.7673,55,True,0.6162186861038208,1.8885210752487183,0.0,53.0,0.0,0.0,0.0
V218,float32,0.7673,111,True,1.0924546718597412,5.933333873748779,0.0,219.0,0.0,0.0,1.0
V219,float32,0.7673,79,True,0.7931141257286072,2.8132429122924805,0.0,79.0,0.0,0.0,1.0
